Mã MH,Tên MH,Số tín chỉ,Nhóm lớp,DK/ Sĩ số,Ngôn ngữ,Nhóm LT,Giảng viên,Nhóm BT,Giảng viên BT/TN,Sĩ số LT,Thứ(Buổi 1),Tiết(Buổi 1),Phòng(Buổi 1),CS(Buổi 1),Thứ(Buổi 2),Tiết(Buổi 2),Phòng(Buổi 2),CS(Buổi 2),Thứ(Buổi 3),Tiết(Buổi 3),Phòng(Buổi 3),CS(Buổi 3)
003709 ,Mip(tpháp hnhập nnghiệp),1.0,P01,40/40,V,P01,Phạm Thị Ngọc Diệp ,, ,40,Thứ 5 ,7 8 9,B1-302 ,1 ,,,,,,,,
003709 ,Mip(tpháp hnhập nnghiệp),1.0,P02,37/40,V,P02,Phạm Thị Ngọc Diệp ,, ,40,Thứ 5 ,2 3 4,B1-303 ,1 ,,,,,,,,
003709 ,Mip(tpháp hnhập nnghiệp),1.0,P03,37/40,V,P03,Phạm Thị Ngọc Diệp ,, ,40,Thứ 6 ,10 11 12,B8-302 ,1 ,,,,,,,,
003724 ,Anh văn 9 (xd),2.0,P01,18/60,V,P01,Hồ Thị Nam Trân ,, ,60,Thứ 2 ,8 9 10,B8-301 ,1 ,,,,,,,,
007302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Cao Đăng ,, ,200,,,,1 ,,,,,,,,
007303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Huỳnh Quang Linh ,, ,200,,,,1 ,,,,,,,,
007710 ,Âm thanh công trình,2.0,P01,11/60,V,P01,Dương Minh Phát ,, ,60,Thứ 4 ,7 8 9,B4-402 ,1 ,,,,,,,,
201302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Phạm Bảo Toàn ,, ,200,,,,1 ,,,,,,,,
201303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Vũ Công Hòa ,, ,200,,,,1 ,,,,,,,,
201704 ,Cơ học bay 2,2.0,P01,16/60,V,P01,Ngô Khánh Hiếu ,, ,60,Thứ 2 ,2 3,C6-603 ,1 ,,,,,,,,
202302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
202303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
202702 ,Các cảm biến,2.0,P01,16/60,V,P01,Thái Thị Thu Hà ,, ,60,Thứ 6 ,4 5 6,B1-314 ,1 ,,,,,,,,
203302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lưu Thanh Tùng ,, ,200,,,,1 ,,,,,,,,
203303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lương Văn Tới ,, ,200,,,,1 ,,,,,,,,
204302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Thị Như Lan ,, ,200,,,,1 ,,,,,,,,
204303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Thị Như Lan ,, ,200,,,,1 ,,,,,,,,
206302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
206303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01, ,, ,200,,,,1 ,,,,,,,,
208302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Tất Hiển ,, ,200,,,,1 ,,,,,,,,
208303 ,Luận văn tốt nghiệp,10.0,T01,2/200,V,T01,Trần Văn Tạo ,, ,200,,,,1 ,,,,,,,,
209302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
209303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,,, ,200,,,,1 ,,,,,,,,
210302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Nguyễn Văn Hạnh ,, ,200,,,,1 ,,,,,,,,
210303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Nguyễn Thị Minh Trinh ,, ,200,,,,1 ,,,,,,,,
213302 ,Thực tập tốt nghiệp,3.0,T01,0/200,V,T01,Lê Thị Hồng Hiếu ,, ,200,,,,1 ,,,,,,,,
213303 ,Luận văn tốt nghiệp,10.0,T01,0/200,V,T01,Lê Thị Hồng Hiếu ,, ,200,,,,1 ,,,,,,,,
213700 ,Luận văn tốt nghiệp,10.0,P01,5/300,V,P01,Nguyễn Song Thanh Thảo ,, ,300,,,,1 ,,,,,,,,
213707 ,Máy cánhdẫn &máytl ttích,4.0,P01,16/60,V,P01,Lê Thị Minh Nghĩa ,, ,60,Thứ 4 ,10 11 12,B8-302 ,1 ,,,,,,,,
