Mã MH,Tên MH,Số tín chỉ,Nhóm lớp,DK/ Sĩ số,Ngôn ngữ,Nhóm LT,Giảng viên,Nhóm BT,Giảng viên BT/TN,Sĩ số LT,Thứ(Buổi 1),Tiết(Buổi 1),Phòng(Buổi 1),CS(Buổi 1),Thứ(Buổi 2),Tiết(Buổi 2),Phòng(Buổi 2),CS(Buổi 2),Thứ(Buổi 3),Tiết(Buổi 3),Phòng(Buổi 3),CS(Buổi 3)
213700 ,Luận văn tốt nghiệp,10.0,P01,0/100,V,P01,,, ,100,,,,1 ,,,,,,,,
213750 ,Thực tập tốt nghiệp,0.0,P01,3/500,V,P01,,, ,500,,,,1 ,,,,,,,,
213757 ,Thực tập ngoài trường,0.0,P01,16/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
213758 ,Luận văn tốt nghiệp,10.0,P01,12/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
216700 ,Luận văn tốt nghiệp,10.0,P01,4/500,V,P01,,, ,500,,,,1 ,,,,,,,,
216750 ,Thực tập tốt nghiệp,0.0,P01,4/500,V,P01,,, ,500,,,,1 ,,,,,,,,
216757 ,Thực tập ngoài trường,0.0,P01,6/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
216758 ,Luận văn tốt nghiệp,10.0,P01,3/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
218700 ,Luận văn tốt nghiệp,10.0,P01,4/500,V,P01,,, ,500,,,,1 ,,,,,,,,
218750 ,Thực tập tốt nghiệp,0.0,P01,3/500,V,P01,,, ,500,,,,1 ,,,,,,,,
218757 ,Thực tập ngoài trường,0.0,P01,14/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
218758 ,Luận văn tốt nghiệp,10.0,P01,11/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
400431 ,Thực tập tốt nghiệp,2.0,TT01,3/500,V,TT01,,, ,500,,,,1 ,,,,,,,,
400433 ,Luận văn tốt nghiệp,8.0,TT01,16/500,V,TT01,,, ,500,,,,1 ,,,,,,,,
401709 ,ĐAMH hệ thống năng lượng,3.0,P01,1/500,V,P01,,, ,500,,,,1 ,,,,,,,,
403700 ,Luận văn tốt nghiệp,10.0,P01,2/500,V,P01,,, ,500,,,,1 ,,,,,,,,
403750 ,Thực tập tốt nghiệp,0.0,P01,3/500,V,P01,,, ,500,,,,1 ,,,,,,,,
403757 ,Thực tập ngoài trường,0.0,P01,13/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
403758 ,Luận văn tốt nghiệp,10.0,P01,11/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
405700 ,Luận văn tốt nghiệp,10.0,P01,4/500,V,P01,,, ,500,,,,1 ,,,,,,,,
405750 ,Thực tập tốt nghiệp,0.0,P01,3/500,V,P01,,, ,500,,,,1 ,,,,,,,,
405757 ,Thực tập ngoài trường,0.0,P01,12/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
405758 ,Luận văn tốt nghiệp,10.0,P01,10/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
5X0303 ,Khóa Luận/Thi TN (ĐH),10.0,X01,2/500,V,X01,,, ,500,,,,1 ,,,,,,,,
800700 ,Luận văn tốt nghiệp,20.0,P01,8/500,V,P01,,, ,500,,,,1 ,,,,,,,,
800707 ,ĐA nghiên cứu kh & p/t,10.0,P01,15/200,V,P01, ,, ,200,,,,1 ,,,,,,,,
800758 ,Luận văn tốt nghiệp,20.0,P01,8/80,V,P01, ,, ,80,,,,1 ,,,,,,,,
803303 ,Luận văn tốt nghiệp,10.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
804303 ,Luận văn tốt nghiệp,10.0,T01,5/500,V,T01,,, ,500,,,,1 ,,,,,,,,
813040 ,ĐA kiến trúc công cộng 4,6.0,L01,0/500,V,L01,,, ,500,,,,1 ,,,,,,,,
813040 ,ĐA kiến trúc công cộng 4,6.0,P01,0/500,V,P01,,, ,500,,,,1 ,,,,,,,,
AS2031 ,Đồ án môn học-thiếtkế kt,2.0,L01,67/200,V,L01, ,, ,200,,,,1 ,,,,,,,,
AS2031 ,Đồ án môn học-thiếtkế kt,2.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
AS2045 ,Đồ án thiết kế cơ sở,1.0,CC01,17/80,V,CC01, ,, ,80,,,,1 ,,,,,,,,
AS2045 ,Đồ án thiết kế cơ sở,1.0,L01,59/200,V,L01, ,, ,200,,,,1 ,,,,,,,,
AS2045 ,Đồ án thiết kế cơ sở,1.0,T01,0/500,V,T01,,, ,500,,,,1 ,,,,,,,,
